algo,w,lam,mean_abs_pnl,mean_cost,std_abs_pnl,seed,status,timestamp
no_hedge,N/A,N/A,2.9152337390873013,0.0,0.8422306907144009,986,eval_done,2025-05-31 09:02:53
no_hedge,0.0001,0.0001,2.822008014880952,0.0,0.8388821948350984,1258,eval_done,2025-05-31 09:07:24
no_hedge,0.0001,0.001,2.7988766418650797,0.0,0.9613273248314209,1268,eval_done,2025-05-31 09:07:37
no_hedge,0.0001,0.01,2.6831537033730153,0.0,0.8273012555261094,1278,eval_done,2025-05-31 09:07:50
no_hedge,0.001,0.0001,2.820765723214286,0.0,0.8753997759334112,1288,eval_done,2025-05-31 09:08:03
no_hedge,0.001,0.001,2.791401584325397,0.0,0.8425966078212912,1298,eval_done,2025-05-31 09:08:18
no_hedge,0.001,0.01,2.760798939484127,0.0,1.039886013099021,1308,eval_done,2025-05-31 09:08:30
no_hedge,0.01,0.0001,2.70529085813492,0.0,0.8271746071046774,1318,eval_done,2025-05-31 09:08:43
no_hedge,0.01,0.001,2.8216306934523807,0.0,0.7955770004923159,1328,eval_done,2025-05-31 09:08:56
no_hedge,0.01,0.01,2.7465589623015876,0.0,0.9224695306078027,1338,eval_done,2025-05-31 09:09:09
