algo,w,lam,mean_abs_pnl,mean_cost,std_abs_pnl,seed,status,timestamp
delta_every_step,N/A,N/A,2.6629241988793364,0.13520238095238107,0.9129890061813493,1872,eval_done,2025-05-31 09:03:15
delta_every_step,0.0001,0.0001,2.8603627530781655,0.12800992063492075,0.8874975743770306,2144,eval_done,2025-05-31 09:09:32
delta_every_step,0.0001,0.001,2.6958269824922496,0.13007539682539696,0.6946098468746118,2154,eval_done,2025-05-31 09:09:55
delta_every_step,0.0001,0.01,2.756204992242121,0.13184325396825408,0.8804364545919018,2164,eval_done,2025-05-31 09:10:17
delta_every_step,0.001,0.0001,2.773599193285259,0.12950000000000012,0.7970108470300078,2174,eval_done,2025-05-31 09:10:40
delta_every_step,0.001,0.001,2.754716359109846,0.12956150793650806,0.8194846547629486,2184,eval_done,2025-05-31 09:11:03
delta_every_step,0.001,0.01,2.766357496271865,0.1293650793650795,0.9532327233709277,2194,eval_done,2025-05-31 09:11:26
delta_every_step,0.01,0.0001,2.830808834869868,0.12776587301587314,0.8619531293321318,2204,eval_done,2025-05-31 09:11:48
delta_every_step,0.01,0.001,2.7901536470863864,0.1266369047619049,0.6927133054513134,2214,eval_done,2025-05-31 09:12:12
delta_every_step,0.01,0.01,2.796993613205172,0.1284126984126985,0.896712509827521,2224,eval_done,2025-05-31 09:12:34
